Credits,,,
(1-456 of 456),,,
Year,Album,Artist,
2022,Elvis On Tour,Elvis Presley,Bass
2021,Start Walkin' 1965-1976,Nancy Sinatra,Bass
2021,Songs of Faith,Kenny Rogers,Guitar (Bass)
2021,Greatest Hits (1970-2020),Bruce Cockburn,Bass
2021,Finding Wildflowers,Tom Petty,"Assistant, Engineer, Guitar (Bass)"
2020,Fire in the Blood: The Definitive Collection,Shakin' Stevens,Composer
2019,Pushin Too Hard [Original Soundtrack],The Seeds,Bass
2019,Looking for the Sun,Curt Boettcher,Bass
2019,Live 1969,Elvis Presley,Bass
2017,The Singles,The Doors,Guitar (Bass)
2016,Way Down in the Jungle Room,Elvis Presley,Bass
2016,The Ultimate Collection [Legacy],Roy Orbison,Bass
2016,The Monkees 50,The Monkees,"Bass, Double Bass"
2016,Benny...,Benny Hester,Bass
2015,"The Studio Albums 1979-2008, Vol. 2",Chicago,Guitar (Bass)
2015,If I Can Dream,Elvis Presley,Bass
2015,Happy Lovin' Time: Sunshine Pop from the Garpax Vaults,,Composer
2014,Singles As & Bs 1965-1970,The Seeds,Bass
2014,Rumours of Glory [True North],Bruce Cockburn,Bass
2014,Oh! Brother/Not Guilty,Larry Gatlin / Larry Gatlin & the Gatlin Brothers Band,Bass
2013,Windy: A Ruthann Friedman Songbook,Ruthann Friedman,Bass
2013,"The Complete Album Collection, Vol. 1",Bob Dylan,Bass
2013,Skydog: The Duane Allman Retrospective,Duane Allman,Bass
2013,Made in California,The Beach Boys,Bass (Electric)
2013,Behind Closed Doors: The Rarities,The Doors,Guitar (Bass)
2012,The RCA Albums Collection,John Denver,"Arranger, Bass, Rhythm Arrangements"
2012,The Complete Columbia Album Collection,Johnny Cash,Bass
2012,Original Album Series,Elvis Costello,"Bass, Tuba"
2012,Come to Me/Well Kept Secret/Take Heart,Juice Newton,Bass
2011,Setlist: The Very Best of Elvis Presley Live,Elvis Presley,Bass
2011,Runt + Runt: The Ballad of Todd Rundgren,Todd Rundgren,Bass
2011,Antelope Freeway/Equinox Express Elevator,Howard Roberts,Bass (Electric)
2011,A Collection,The Doors,Bass
2010,The Drugstore's Rockin',Pat Boone,Bass
2009,Where the Action Is! Los Angeles Nuggets 1965-1968,,"Bass, Personnel"
2009,Walking on a Wire: 1968-2009,Richard Thompson,"Double Bass, Bass (Electric), Bass, String Bass"
2009,The End: A New Beginning,John Krondes,Bass
2009,I Believe: The Gospel Masters,Elvis Presley,Saxophone
2009,Elvis 75,Elvis Presley,Bass
2008,The Soul of Rock & Roll,Roy Orbison,"Main Personnel, Bass Instrument, Bass"
2008,The Best of the Soul of Rock and Roll,Roy Orbison,"Main Personnel, Bass"
2008,Stone of Sisyphus: XXXII,Chicago,"Guest Artist, Bass, Guitar (Bass)"
2008,Speechless/Gagged But Not Bound,Albert Lee,Bass (Acoustic)
2008,Southbound/Fearless,Hoyt Axton,"Featured Artist, Tuba, Bass Instrument, Bass"
2008,Paisley Dreams,Tommy Roe,"Bass, Musician"
2007,The Very Best of the Doors,The Doors,Guitar (Bass)
2007,The Best of Elvis Costello: The First 10 Years,Elvis Costello,String Bass
2007,Rhino Hi-Five: Southern Pacific,Southern Pacific,"Double Bass, Guitar (Bass), Vocals (Background)"
2007,Pilgrims Progress,Mark Levine,Bass
2007,Four Decades of Folk Rock,,Bass
2007,Forever the Monkees,The Monkees,"Bass, Double Bass"
2007,Elvis: Viva Las Vegas,Elvis Presley,Bass
2006,Twenty Twenty: The Essential T Bone Burnett,T-Bone Burnett,"Percussion, Bass, String Bass"
2006,The Essential Roy Orbison,Roy Orbison,Bass
2006,Sugar Hill Records: A Retrospective [Box Set],,"Bass (Electric), Bass"
2006,Southern Nights,Elvis Presley,Bass
2006,Perception,The Doors,"Bass Instrument, Bass"
2006,Other Voices/Full Circle,The Doors,Bass
2006,Live in Los Angeles at PJ's Club,Barney Kessel,"Bass, Group Member"
2006,Hollywood Maverick: The Gary Paxton Story,,Bass
2006,Elvis Lives: The 25th Anniversary Concert [DVD],Elvis Presley,Musician
2006,Elvis Lives: The 25th Anniversary Concert,Elvis Presley,Musician
2005,"Rhino Hi-Five: Wedding Songs, Vol. 1",,Musician
2005,Rhino Hi-Five: The Association,The Association,Musician
2005,RetroSpecto,Eliza Gilkyson,Bass
2005,Perfecto Presents: The Club,Paul Oakenfold,Composer
2005,Live from Las Vegas,Elvis Presley,"Main Personnel, Guitar (Bass), Bass"
2005,Jimmy Miller Productions 1976-1979,Joey Stec,"Main Personnel, Guitar (Bass)"
2005,Crowded House/Temple of Low Men,Crowded House,Bass
2004,Who's Gonna Go Your Crooked Mile?,Peter Case,Bass (Electric)
2004,Olympia 2003,Frank Michael,"Basse, Group Member"
2004,Impossible Dream,Elvis Presley,Musician
2004,Hallucinations: Psychedelic Pop Nuggets from the WEA Vaults,,"Bass, Double Bass"
2004,Boy Trouble: Garpax Girls,,Bass
2004,Beach Party: Garpax Surf 'N' Drag,,Bass
2004,Bakersfield Rebels,,Bass
2004,Aloha from Hawaii Via Satellite [DVD Deluxe Edition],Elvis Presley,Bass
2003,Tuff and Stringy Sessions 1966-68,Clarence White,Bass
2003,The First Sessions,Warren Zevon,Bass
2003,The Best of the Monkees [Rhino],The Monkees,"Bass, Double Bass"
2003,Southern Pacific/Zuma,Southern Pacific,"Bass (Upright), Bass (Electric), Vocals (Background)"
2003,Many Are the Times,Lee Mallory,Bass
2003,Legacy: The Absolute Best,The Doors,Bass
2003,L.A. Woman/Morrison Hotel/The Doors,The Doors,Bass
2003,Elvis: Close Up,Elvis Presley,"Bass, Accompaniment"
2003,Elvis at the International,Elvis Presley,Bass
2003,Do Unto Others,Sandy Salisbury,Bass
2003,Chicago: The Box [Bonus DVD],Chicago,Bass
2003,Bob Dylan [Limited Edition Hybrid SACD Set],Bob Dylan,Guitar (Bass)
2002,Voices of the Millennium,The Millennium,Bass
2002,The Definitive Monkees,The Monkees,String Bass
2002,That's the Way It's Gonna Be,Lee Mallory,Bass
2002,Songs Inspired by Literature: Chapter One,The Sibl Project,Primary Artist
2002,Sometimes Happy Times,Dotti Holmberg,Guitar (Bass)
2002,Louisiana Rain,Gib Guilbeau,Bass
2002,Just the Right Sound: The Association Anthology,The Association,Bass
2002,Chambergrass: A Decade of Tunes From the Edges of Bluegrass,Berline + Crary + Hickman,Bass
2002,Anything Anytime Anywhere (Singles 1979-2002),Bruce Cockburn,Bass
2001,Music from Vanilla Sky,,Double Bass
2001,Music Box,The Monkees,"Bass, Double Bass"
2001,Live in Vegas,Elvis Presley,Bass
2001,Cadillac Walk: The Mink DeVille Collection,Mink DeVille,Bass
2001,Blue Suede Shoes Collection,Elvis Presley,Bass
2001,Action Packed: The Best of the Capitol Years,Richard Thompson,Bass
2000,Sing Australia (In Concert),John Denver,Bass
2000,Sandy,Sandy Salisbury,Bass
2000,Misty Mirage,Curt Boettcher,Bass
2000,Loose Ends,Larry John McNally,Bass
2000,Elvis Rockabilly,Elvis Presley,Bass (Electric)
2000,"Christmas with Elvis Presley, Johnny Cash, and John Denver",,Bass
1999,The Very Best of Elvis Costello,Elvis Costello,"Double Bass, String Bass, Fuzz Bass"
1999,The Complete Studio Recordings,The Doors,Bass
1999,The Collection [RCA],Elvis Presley,Bass
1999,Slim Slo Slider/Home Grown,Johnny Rivers,Bass
1999,"Shake, Rattle & Roll [MCA] [Original TV Soundtrack]",,Bass
1999,Jazz Guitare,,Bass
1999,Concert 1999 World Tour,Elvis Presley,Bass
1999,Christmas,John Denver,Bass
1999,Artist of the Century,Elvis Presley,Bass
1999,A Hundred Lies,Malcolm Holcombe,"Bass (Upright), Bass"
1998,Somewhere in the Middle,Eric Martin,Bass
1998,Slide,Lisa Germano,Bass
1998,North American Long Weekend,Tom Freund,Bass
1998,Like a Hurricane,Chris Hillman,Bass
